,Fiskveiðiár,Skr.nr.,Heiti,Útgerðarflokkur,Kvótategund,Hlutdeildir úr gildi,Hlutdeild í upphafi,Hlutdeild í lok,Hlutdeildarbreyting,Útgerð
0,2020/2021,1909.0,Gísli ÍS22,Krókaaflamarksbátur,Makríll,31.08.2021,4.1e-06,4.1e-06,0.0,1909 ehf.
1,2021/2022,1909.0,Gísli ÍS22,Krókaaflamarksbátur,Makríll,31.08.2022,4.1e-06,4.1e-06,0.0,1909 ehf.
2,2022/2023,1909.0,Gísli ÍS22,Krókaaflamarksbátur,Makríll,31.08.2023,4.1e-06,4.1e-06,0.0,1909 ehf.
3,2023/2024,1909.0,Gísli ÍS22,Krókaaflamarksbátur,Makríll,31.08.2024,4.1e-06,4.1e-06,0.0,1909 ehf.
4,2024/2025,1909.0,Gísli ÍS22,Núllflokkur,Makríll,31.08.2025,4.1e-06,4.1e-06,0.0,1909 ehf.
5,2024/2025,1909.0,Gísli ÍS22,Núllflokkur,Grásleppa,31.08.2025,0.3568994,0.3568994,0.0,1909 ehf.
6,2025/2026,1637.0,Sara ÍS186,Smábátur með aflamark,Grásleppa,31.08.2026,0.0777197,0.4346191,0.3568994,1909 ehf.
7,2025/2026,1909.0,Gísli ÍS22,Aflamarksheimild,Makríll,31.08.2026,4.1e-06,4.1e-06,0.0,1909 ehf.
8,2025/2026,1909.0,Gísli ÍS22,Aflamarksheimild,Grásleppa,31.08.2026,0.3568994,0.0,-0.3568994,1909 ehf.
9,2003/2004,7417.0,Jói ÍS10,Krókaaflamarksbátur,Ufsi,31.08.2004,0.0012112,0.0012112,0.0,2362 ehf
10,2003/2004,7417.0,Jói ÍS10,Krókaaflamarksbátur,Þorskur,31.08.2004,0.0355234,0.0355234,0.0,2362 ehf
11,2003/2004,7417.0,Jói ÍS10,Krókaaflamarksbátur,Ýsa,31.08.2004,0.067774,0.067774,0.0,2362 ehf
12,2004/2005,7417.0,Jói ÍS10,Krókaaflamarksbátur,Ufsi,31.08.2005,0.0011952,0.0011952,0.0,2362 ehf
13,2004/2005,7417.0,Jói ÍS10,Krókaaflamarksbátur,Þorskur,31.08.2005,0.0337507,0.0337507,0.0,2362 ehf
