Species,Port,Year,Month,Quantity,Value
Capelin,Akranes,1982,1,0,0
Capelin,Akranes,1982,2,0,0
Capelin,Akranes,1982,3,0,0
Capelin,Akranes,1982,4,0,0
Capelin,Akranes,1982,5,0,0
Capelin,Akranes,1982,6,0,0
Capelin,Akranes,1982,7,0,0
Capelin,Akranes,1982,8,0,0
Capelin,Akranes,1982,9,0,0
Capelin,Akranes,1982,10,0,0
Capelin,Akranes,1982,11,0,0
Capelin,Akranes,1982,12,0,0
Capelin,Akranes,1983,1,0,0
Capelin,Akranes,1983,2,0,0
Capelin,Akranes,1983,3,0,0
Capelin,Akranes,1983,4,0,0
Capelin,Akranes,1983,5,0,0
Capelin,Akranes,1983,6,0,0
Capelin,Akranes,1983,7,0,0
Capelin,Akranes,1983,8,0,0
Capelin,Akranes,1983,9,0,0
Capelin,Akranes,1983,10,0,0
Capelin,Akranes,1983,11,537,911
Capelin,Akranes,1983,12,2093,3523
Capelin,Akranes,1984,1,40836,48467
Capelin,Akranes,1984,2,0,0
Capelin,Akranes,1984,3,0,0
Capelin,Akranes,1984,4,0,0
Capelin,Akranes,1984,5,0,0
Capelin,Akranes,1984,6,0,0
Capelin,Akranes,1984,7,0,0
Capelin,Akranes,1984,8,0,0
Capelin,Akranes,1984,9,0,0
Capelin,Akranes,1984,10,0,0
Capelin,Akranes,1984,11,0,0
Capelin,Akranes,1984,12,0,0
Capelin,Akranes,1985,1,3855,6176
Capelin,Akranes,1985,2,5676,7335
Capelin,Akranes,1985,3,4227,2351
Capelin,Akranes,1985,4,0,0
Capelin,Akranes,1985,5,0,0
Capelin,Akranes,1985,6,0,0
Capelin,Akranes,1985,7,0,0
Capelin,Akranes,1985,8,0,0
Capelin,Akranes,1985,9,0,0
Capelin,Akranes,1985,10,7768,15126
Capelin,Akranes,1985,11,8936,17054
Capelin,Akranes,1985,12,3866,7376
Capelin,Akranes,1986,1,2840,4689
Capelin,Akranes,1986,2,5917,7274
Capelin,Akranes,1986,3,2380,2554
Capelin,Akranes,1986,4,0,0
Capelin,Akranes,1986,5,0,0
Capelin,Akranes,1986,6,0,0
Capelin,Akranes,1986,7,0,0
Capelin,Akranes,1986,8,0,0
Capelin,Akranes,1986,9,1793,3210
Capelin,Akranes,1986,10,5461,9766
Capelin,Akranes,1986,11,5720,10525
Capelin,Akranes,1986,12,3037,5701
Capelin,Akranes,1987,1,2644,4839
Capelin,Akranes,1987,2,11194,22829
Capelin,Akranes,1987,3,11678,9492
Capelin,Akranes,1987,4,0,0
Capelin,Akranes,1987,5,0,0
Capelin,Akranes,1987,6,0,0
Capelin,Akranes,1987,7,0,0
Capelin,Akranes,1987,8,0,0
Capelin,Akranes,1987,9,0,0
Capelin,Akranes,1987,10,1585,3169
Capelin,Akranes,1987,11,10647,24751
Capelin,Akranes,1987,12,5971,14331
Capelin,Akranes,1988,1,7816,19412
Capelin,Akranes,1988,2,9048,23016
Capelin,Akranes,1988,3,4056,7243
Capelin,Akranes,1988,4,0,0
Capelin,Akranes,1988,5,0,0
Capelin,Akranes,1988,6,0,0
Capelin,Akranes,1988,7,0,0
Capelin,Akranes,1988,8,0,0
Capelin,Akranes,1988,9,0,0
Capelin,Akranes,1988,10,1368,4787
Capelin,Akranes,1988,11,4618,18073
Capelin,Akranes,1988,12,4403,18266
Capelin,Akranes,1989,1,3532,14129
Capelin,Akranes,1989,2,7548,29348
Capelin,Akranes,1989,3,11995,41405
Capelin,Akranes,1989,4,3183,10740
Capelin,Akranes,1989,5,0,0
Capelin,Akranes,1989,6,0,0
Capelin,Akranes,1989,7,0,0
Capelin,Akranes,1989,8,0,0
Capelin,Akranes,1989,9,0,0
Capelin,Akranes,1989,10,0,0
Capelin,Akranes,1989,11,1718,6872
Capelin,Akranes,1989,12,415,1661
Capelin,Akranes,1990,1,4455,18680
Capelin,Akranes,1990,2,11858,44676
Capelin,Akranes,1990,3,7240,21480
Capelin,Akranes,1990,4,400,14
Capelin,Akranes,1990,5,0,0
Capelin,Akranes,1990,6,0,0
Capelin,Akranes,1990,7,0,0
Capelin,Akranes,1990,8,0,0
Capelin,Akranes,1990,9,0,0
Capelin,Akranes,1990,10,0,0
Capelin,Akranes,1990,11,3069,13121
Capelin,Akranes,1990,12,115,507
Capelin,Akranes,1991,1,577,2654
Capelin,Akranes,1991,2,7531,31463
Capelin,Akranes,1991,3,5343,11755
Capelin,Akranes,1991,4,0,0
Capelin,Akranes,1991,5,0,0
Capelin,Akranes,1991,6,0,0
Capelin,Akranes,1991,7,0,0
Capelin,Akranes,1991,8,0,0
Capelin,Akranes,1991,9,0,0
Capelin,Akranes,1991,10,0,0
Capelin,Akranes,1991,11,1497,6886
Capelin,Akranes,1991,12,4322,20025
Capelin,Akranes,1992,1,2431,10983
Capelin,Akranes,1992,2,11998,46869
Capelin,Akranes,1992,3,12050,41088
Capelin,Akranes,1992,4,595,1996
Capelin,Akranes,1992,5,0,0
Capelin,Akranes,1992,6,0,0
Capelin,Akranes,1992,7,0,0
