town,latitude,longitude
Akranes,64.3221,-22.0750
Akureyri,65.6835,-18.0878
Arnarstapi,64.7667,-23.6333
Árskógssandur,65.8667,-18.3667
Bakkafjörður,66.0167,-14.8167
Bíldudalur,65.6833,-23.6000
Blönduós,65.6600,-20.2900
Bolungarvík,66.1500,-23.2500
Borgarfjörður Eystri,65.4500,-13.8000
Borgarnes,64.5378,-21.9208
Breiðdalsvík,64.7900,-14.0000
Brjánslækur,65.5333,-22.2167
Búðardalur,65.1000,-21.6833
Dalvík,65.9700,-18.5300
Djúpivogur,64.6500,-14.2833
Drangsnes,65.6917,-21.4500
Egilsstaðir,65.2500,-14.3950
Eskifjörður,65.0700,-14.0200
Eyrarbakki,63.8600,-21.1500
Fáskrúðsfjörður,64.9300,-13.8700
Flatey á Breiðafirði,65.3667,-22.9167
Flateyri,66.0500,-23.5167
Garðabær,64.0900,-21.9200
Garður,64.0600,-22.6800
Grímsey,66.5500,-18.0167
Grindavík,63.8400,-22.4300
Grundarfjörður,64.9200,-23.2500
Hafnarfjörður,64.0667,-21.9500
Hafnir,63.9333,-22.6833
Haganesvík,65.8000,-18.1167
Hauganes,65.8833,-18.3500
Haukabergsvaðall,64.1667,-21.0500
Hellissandur,64.7500,-23.8900
Hellnar,64.7500,-23.8333
Hjalteyri,65.7833,-18.2000
Hnífsdalur,66.0667,-23.2000
Hofsós,65.8833,-19.6500
Hólmavík,65.7067,-21.6833
Hornafjörður,64.2500,-15.2000
Hrísey,65.9833,-18.4000
Húsavík,66.0449,-17.3389
Hvalseyjar,64.4000,-22.0000
Hvammstangi,65.4000,-20.9500
Hveragerði,64.0000,-21.1833
Hvolsvöllur,63.7500,-20.2333
Ísafjörður,66.0750,-23.1250
Keflavík,64.0000,-22.5600
Kópasker,66.3100,-16.4500
"Miðsandur, Hvalfirði",64.4000,-21.7000
Mjóifjörður,65.0833,-13.9333
Neskaupstaður,65.1500,-13.7000
Njarðvík,64.0000,-22.5500
Norðurfjörður,65.9500,-22.1167
Ólafsfjörður,66.0700,-18.6600
Ólafsvík,64.8900,-23.7100
Patreksfjörður,65.6000,-23.9833
Raufarhöfn,66.4500,-15.9500
Reykhólar,65.4500,-22.2000
Reykjavík,64.1466,-21.9426
Reyðarfjörður,65.0300,-14.2000
Rif,64.7600,-23.8200
Sandgerði,64.0400,-22.7100
Sauðárkrókur,65.7500,-19.6400
Selfoss,63.9333,-20.9833
Seyðisfjörður,65.2600,-14.0000
Siglufjörður,66.1500,-18.9100
Skagaströnd,65.8300,-20.3000
Skarðsstöð,66.1833,-23.1167
Stokkseyri,63.8400,-21.0600
Stöðvarfjörður,64.8300,-13.8700
Stykkishólmur,65.0750,-22.7300
Súðavík,66.0333,-23.0333
Tálknafjörður,65.6167,-23.8333
Vestmannaeyjar,63.4400,-20.2700
Vík í Mýrdal,63.4186,-19.0060
Vogar,64.0667,-22.3833
Vopnafjörður,65.7600,-14.8500
Þingeyri,65.8833,-23.4833
Þorlákshöfn,63.8600,-21.3800
Þórshöfn,66.2000,-15.3333
