Ár,Tekju- og gjaldaliðir,Tegund skipa,Rekstraryfirlit fiskveiða 1997-2024
1997,1. Tekjur alls,Samtals,59703
1997,1. Tekjur alls,Bátar undir 10 brl.,5140
1997,1. Tekjur alls,Bátar 10-200 brl.,13572
1997,1. Tekjur alls,Bátar > 200 brl.,2818
1997,1. Tekjur alls,Uppsjávarveiðiskip,10817
1997,1. Tekjur alls,Ísfisktogarar,7972
1997,1. Tekjur alls,Frystitogarar,19384
1997,1.1  Útflutningstekjur,Samtals,24363
1997,1.1  Útflutningstekjur,Bátar undir 10 brl.,82
1997,1.1  Útflutningstekjur,Bátar 10-200 brl.,2056
1997,1.1  Útflutningstekjur,Bátar > 200 brl.,1304
1997,1.1  Útflutningstekjur,Uppsjávarveiðiskip,368
1997,1.1  Útflutningstekjur,Ísfisktogarar,2093
1997,1.1  Útflutningstekjur,Frystitogarar,18459
1997,1.2  Selt hráefni,Samtals,32280
1997,1.2  Selt hráefni,Bátar undir 10 brl.,4136
1997,1.2  Selt hráefni,Bátar 10-200 brl.,10661
1997,1.2  Selt hráefni,Bátar > 200 brl.,1458
1997,1.2  Selt hráefni,Uppsjávarveiðiskip,10334
1997,1.2  Selt hráefni,Ísfisktogarar,5607
1997,1.2  Selt hráefni,Frystitogarar,85
1997,1.3  Aðrar tekjur,Samtals,3060
1997,1.3  Aðrar tekjur,Bátar undir 10 brl.,922
1997,1.3  Aðrar tekjur,Bátar 10-200 brl.,855
1997,1.3  Aðrar tekjur,Bátar > 200 brl.,56
1997,1.3  Aðrar tekjur,Uppsjávarveiðiskip,115
1997,1.3  Aðrar tekjur,Ísfisktogarar,272
1997,1.3  Aðrar tekjur,Frystitogarar,840
1997,2  Gjöld alls,Samtals,49574
1997,2  Gjöld alls,Bátar undir 10 brl.,3895
1997,2  Gjöld alls,Bátar 10-200 brl.,12186
1997,2  Gjöld alls,Bátar > 200 brl.,2422
1997,2  Gjöld alls,Uppsjávarveiðiskip,8014
1997,2  Gjöld alls,Ísfisktogarar,6959
1997,2  Gjöld alls,Frystitogarar,16099
1997,2.1  Aflahlutir,Samtals,17280
1997,2.1  Aflahlutir,Bátar undir 10 brl.,1205
1997,2.1  Aflahlutir,Bátar 10-200 brl.,4179
1997,2.1  Aflahlutir,Bátar > 200 brl.,771
1997,2.1  Aflahlutir,Uppsjávarveiðiskip,3086
1997,2.1  Aflahlutir,Ísfisktogarar,2106
1997,2.1  Aflahlutir,Frystitogarar,5933
1997,2.2  Önnur laun,Samtals,4480
1997,2.2  Önnur laun,Bátar undir 10 brl.,597
1997,2.2  Önnur laun,Bátar 10-200 brl.,1382
1997,2.2  Önnur laun,Bátar > 200 brl.,366
1997,2.2  Önnur laun,Uppsjávarveiðiskip,597
1997,2.2  Önnur laun,Ísfisktogarar,740
1997,2.2  Önnur laun,Frystitogarar,798
1997,2.3  Launatengd gjöld,Samtals,1922
1997,2.3  Launatengd gjöld,Bátar undir 10 brl.,159
1997,2.3  Launatengd gjöld,Bátar 10-200 brl.,491
1997,2.3  Launatengd gjöld,Bátar > 200 brl.,100
1997,2.3  Launatengd gjöld,Uppsjávarveiðiskip,325
1997,2.3  Launatengd gjöld,Ísfisktogarar,251
1997,2.3  Launatengd gjöld,Frystitogarar,595
1997,2.4  Olíur,Samtals,4813
1997,2.4  Olíur,Bátar undir 10 brl.,202
1997,2.4  Olíur,Bátar 10-200 brl.,851
1997,2.4  Olíur,Bátar > 200 brl.,189
1997,2.4  Olíur,Uppsjávarveiðiskip,780
1997,2.4  Olíur,Ísfisktogarar,972
1997,2.4  Olíur,Frystitogarar,1818
1997,2.5  Veiðarfæri,Samtals,3464
1997,2.5  Veiðarfæri,Bátar undir 10 brl.,213
1997,2.5  Veiðarfæri,Bátar 10-200 brl.,721
1997,2.5  Veiðarfæri,Bátar > 200 brl.,150
1997,2.5  Veiðarfæri,Uppsjávarveiðiskip,1053
1997,2.5  Veiðarfæri,Ísfisktogarar,490
1997,2.5  Veiðarfæri,Frystitogarar,838
1997,2.6  Viðhald,Samtals,5167
1997,2.6  Viðhald,Bátar undir 10 brl.,455
1997,2.6  Viðhald,Bátar 10-200 brl.,1413
1997,2.6  Viðhald,Bátar > 200 brl.,322
1997,2.6  Viðhald,Uppsjávarveiðiskip,884
1997,2.6  Viðhald,Ísfisktogarar,827
1997,2.6  Viðhald,Frystitogarar,1265
1997,2.7  Frystikostn. umbúðir og fl.,Samtals,.
1997,2.7  Frystikostn. umbúðir og fl.,Bátar undir 10 brl.,.
1997,2.7  Frystikostn. umbúðir og fl.,Bátar 10-200 brl.,.
1997,2.7  Frystikostn. umbúðir og fl.,Bátar > 200 brl.,.
1997,2.7  Frystikostn. umbúðir og fl.,Uppsjávarveiðiskip,.
1997,2.7  Frystikostn. umbúðir og fl.,Ísfisktogarar,.
1997,2.7  Frystikostn. umbúðir og fl.,Frystitogarar,.
1997,2.8  Flutningskostnaður,Samtals,353
1997,2.8  Flutningskostnaður,Bátar undir 10 brl.,107
1997,2.8  Flutningskostnaður,Bátar 10-200 brl.,94
1997,2.8  Flutningskostnaður,Bátar > 200 brl.,6
1997,2.8  Flutningskostnaður,Uppsjávarveiðiskip,38
1997,2.8  Flutningskostnaður,Ísfisktogarar,32
1997,2.8  Flutningskostnaður,Frystitogarar,77
1997,2.9  Laun v/skrifstofu,Samtals,440
1997,2.9  Laun v/skrifstofu,Bátar undir 10 brl.,6
1997,2.9  Laun v/skrifstofu,Bátar 10-200 brl.,130
1997,2.9  Laun v/skrifstofu,Bátar > 200 brl.,12
1997,2.9  Laun v/skrifstofu,Uppsjávarveiðiskip,100
1997,2.9  Laun v/skrifstofu,Ísfisktogarar,50
1997,2.9  Laun v/skrifstofu,Frystitogarar,142
1997,2.10 Skrifst.kostnaður,Samtals,1408
1997,2.10 Skrifst.kostnaður,Bátar undir 10 brl.,134
1997,2.10 Skrifst.kostnaður,Bátar 10-200 brl.,422
1997,2.10 Skrifst.kostnaður,Bátar > 200 brl.,87
1997,2.10 Skrifst.kostnaður,Uppsjávarveiðiskip,239
1997,2.10 Skrifst.kostnaður,Ísfisktogarar,162
1997,2.10 Skrifst.kostnaður,Frystitogarar,365
1997,2.11  Tryggingar,Samtals,969
1997,2.11  Tryggingar,Bátar undir 10 brl.,101
1997,2.11  Tryggingar,Bátar 10-200 brl.,272
1997,2.11  Tryggingar,Bátar > 200 brl.,28
1997,2.11  Tryggingar,Uppsjávarveiðiskip,140
1997,2.11  Tryggingar,Ísfisktogarar,107
1997,2.11  Tryggingar,Frystitogarar,321
1997,2.12 Sölukostnaður,Samtals,2399
1997,2.12 Sölukostnaður,Bátar undir 10 brl.,111
1997,2.12 Sölukostnaður,Bátar 10-200 brl.,711
1997,2.12 Sölukostnaður,Bátar > 200 brl.,122
1997,2.12 Sölukostnaður,Uppsjávarveiðiskip,11
1997,2.12 Sölukostnaður,Ísfisktogarar,484
1997,2.12 Sölukostnaður,Frystitogarar,962
1997,2.13 Löndunarkostnaður,Samtals,1167
1997,2.13 Löndunarkostnaður,Bátar undir 10 brl.,77
1997,2.13 Löndunarkostnaður,Bátar 10-200 brl.,260
1997,2.13 Löndunarkostnaður,Bátar > 200 brl.,39
1997,2.13 Löndunarkostnaður,Uppsjávarveiðiskip,155
