Species,Port,Year,Quantity,Value
Capelin,Akranes,1982,0,0
Capelin,Akranes,1983,2630,4434
Capelin,Akranes,1984,40836,48467
Capelin,Akranes,1985,34328,55418
Capelin,Akranes,1986,27148,43719
Capelin,Akranes,1987,43719,79411
Capelin,Akranes,1988,31309,90797
Capelin,Akranes,1989,28391,104155
Capelin,Akranes,1990,27137,98478
Capelin,Akranes,1991,19270,72783
Capelin,Akranes,1992,43780,169698
Capelin,Akranes,1993,56393,208413
Capelin,Akranes,1994,41979,165837
Capelin,Akranes,1995,47869,205391
Capelin,Akranes,1996,58877,303716
Capelin,Akranes,1997,98331,591977
Capelin,Akranes,1998,66652,477419
Capelin,Akranes,1999,42740,174965
Capelin,Akranes,2000,61481,239635
Capelin,Akranes,2001,72149,379729
Capelin,Akranes,2002,74248,583142
Capelin,Akranes,2003,51709,354094
Capelin,Akranes,2004,48855,322429
Capelin,Akranes,2005,29901,164840
Capelin,Akranes,2006,9930,64338
Capelin,Akranes,2007,26473,262445
Capelin,Akranes,2008,10131,70917
Capelin,Akranes,2009,0,0
Capelin,Akranes,2010,12227,244544
Capelin,Akranes,2011,27933,687140
Capelin,Akranes,2012,41288,806387
Capelin,Akranes,2013,24885,643477
Capelin,Akranes,2014,9380,166798
Capelin,Akranes,2015,23757,571055
Capelin,Akranes,2016,3587,74315
Capelin,Akranes,2017,14561,237703
Capelin,Akranes,2018,10028,184952
Capelin,Akranes,2019,0,0
Capelin,Akranes,2020,0,0
Capelin,Akranes,2021,6397,153857
Capelin,Akranes,2022,38798,1133486
Capelin,Akranes,2023,21309,671256
Capelin,Akranes,2024,0,0
Capelin,Akureyri,1982,0,0
Capelin,Akureyri,1983,12678,32320
Capelin,Akureyri,1984,38475,58737
Capelin,Akureyri,1985,48063,91268
Capelin,Akureyri,1986,50110,92803
Capelin,Akureyri,1987,43316,101517
Capelin,Akureyri,1988,43948,143655
Capelin,Akureyri,1989,24027,98513
Capelin,Akureyri,1990,22103,87054
Capelin,Akureyri,1991,9077,42085
Capelin,Akureyri,1992,32214,135475
Capelin,Akureyri,1993,38002,158093
Capelin,Akureyri,1994,30004,131401
Capelin,Akureyri,1995,30288,138915
Capelin,Akureyri,1996,61551,328652
Capelin,Akureyri,1997,55948,359978
Capelin,Akureyri,1998,22936,171542
Capelin,Akureyri,1999,19019,85522
Capelin,Akureyri,2000,33121,147043
Capelin,Akureyri,2001,45179,306656
Capelin,Akureyri,2002,63220,509591
Capelin,Akureyri,2003,49957,357925
Capelin,Akureyri,2004,19969,177148
Capelin,Akureyri,2005,27468,281769
Capelin,Akureyri,2006,2381,73875
Capelin,Akureyri,2007,22,936
Capelin,Akureyri,2008,0,0
Capelin,Akureyri,2009,0,0
Capelin,Akureyri,2010,0,0
Capelin,Akureyri,2011,0,0
Capelin,Akureyri,2012,0,0
Capelin,Akureyri,2013,1703,130536
Capelin,Akureyri,2014,0,0
Capelin,Akureyri,2015,0,0
Capelin,Akureyri,2016,0,0
Capelin,Akureyri,2017,0,0
Capelin,Akureyri,2018,0,0
Capelin,Akureyri,2019,0,0
Capelin,Akureyri,2020,0,0
Capelin,Akureyri,2021,0,0
Capelin,Akureyri,2022,0,0
Capelin,Akureyri,2023,0,0
Capelin,Akureyri,2024,0,0
Capelin,Arnarstapi,1982,0,0
Capelin,Arnarstapi,1983,0,0
Capelin,Arnarstapi,1984,0,0
Capelin,Arnarstapi,1985,0,0
Capelin,Arnarstapi,1986,0,0
Capelin,Arnarstapi,1987,0,0
Capelin,Arnarstapi,1988,0,0
Capelin,Arnarstapi,1989,0,0
Capelin,Arnarstapi,1990,0,0
Capelin,Arnarstapi,1991,0,0
Capelin,Arnarstapi,1992,0,0
Capelin,Arnarstapi,1993,0,0
Capelin,Arnarstapi,1994,0,0
Capelin,Arnarstapi,1995,0,0
Capelin,Arnarstapi,1996,0,0
Capelin,Arnarstapi,1997,0,0
Capelin,Arnarstapi,1998,0,0
Capelin,Arnarstapi,1999,0,0
Capelin,Arnarstapi,2000,0,0
Capelin,Arnarstapi,2001,0,0
